metric,distribution,mean,std,median,q1,q3,iqr,min,max,lower_bound,upper_bound,MY_LOWER,MY_UPPER,species,count,refseq_count,refseq_distribution,refseq_mean,refseq_std,refseq_median,refseq_q1,refseq_q3,refseq_iqr,refseq_min,refseq_max,refseq_lower_bound,refseq_upper_bound,KS_statistic,KS_p_value,Wasserstein_Distance
longest,non-normal,402989.33647272416,173774.9839760314,371129.0,261415.5,548227.5,286812.0,63022.0,1041145.0,94128.5,844977.5,94128.5,844977.5,Streptococcus_agalactiae,35251,0,,,,,,,,,,,,,,
GC_Content,non-normal,0.3530984004141726,0.0010202099142487,0.353072,0.352332,0.353713,0.001381,0.348552,0.361046,0.3505582499999999,0.35619375,0.3506,0.3602,Streptococcus_agalactiae,35251,167,non-normal,0.3559037425149701,0.0014278753319675,0.355782,0.3546735,0.356755,0.0020815,0.353309,0.360181,0.35343599,0.3594713499999999,0.7883746280098735,1.945116456517936e-110,0.0028054253892147
Completeness_Specific,non-normal,99.99955036736546,0.0020749708516365,100.0,100.0,100.0,0.0,99.98,100.0,99.99,100.0,95.59,100.0,Streptococcus_agalactiae,35251,167,non-normal,98.86113772455089,0.7151377901329647,99.03,98.415,99.43,1.0150000000000148,95.59,99.65,96.4366,99.65,1.0,0.0,1.1384126428145651
Contamination,non-normal,0.1288196079543843,0.0851789153212294,0.11,0.07,0.16,0.09,0.0,1.16,0.03,0.48,0.03,2.17,Streptococcus_agalactiae,35251,166,non-normal,0.2082530120481927,0.2416259353037448,0.13,0.13,0.13,0.0,0.08,2.17,0.08,1.7575000000000056,0.5269745402420439,3.074998478331806e-43,0.0836065711884444
Total_Coding_Sequences,non-normal,2059.04777169442,73.79024759253852,2050.0,2011.0,2101.0,90.0,1841.0,2392.0,1903.0,2283.0,1903.0,2398.0,Streptococcus_agalactiae,35251,167,normal,2171.305389221557,83.41137593654088,2170.0,2106.0,2221.5,115.5,1958.0,2398.0,1973.77,2396.34,0.5372394412898975,2.473455670925649e-45,112.25761752713686
Genome_Size,non-normal,2081721.2304899152,62821.120703879504,2073061.0,2039245.5,2119447.5,80202.0,1907405.0,2349986.0,1952753.25,2261601.5,1951859.0,2378065.0,Streptococcus_agalactiae,35251,167,normal,2131386.9461077843,78651.27687496855,2121781.0,2071991.5,2185414.0,113422.5,1951859.0,2378065.0,1962757.73,2342277.89,0.30083913192593,8.026579185698264e-14,49669.877264449286
N50,non-normal,545516.0437956204,288364.52328411344,488745.0,397736.5,681505.0,283768.5,65250.0,2510842.0,80892.49,2510799.81,80892.49,2510799.81,Citrobacter_koseri,274,0,,,,,,,,,,,,,,
number,non-normal,51.12043795620438,25.26827051261533,44.0,37.0,54.0,17.0,23.0,185.0,23.0,172.80999999999997,23.0,172.81,Citrobacter_koseri,274,0,,,,,,,,,,,,,,
longest,non-normal,1203965.401459854,529274.6491954189,1148317.5,751264.0,1631277.0,880013.0,231334.0,2510842.0,265673.37,2510799.81,265673.37,2510799.81,Citrobacter_koseri,274,0,,,,,,,,,,,,,,
GC_Content,non-normal,0.537612594890511,0.0009192952791888,0.5377514999999999,0.537235,0.5380715,0.0008365,0.533841,0.539863,0.533964135,0.539703245,0.5324,0.5397,Citrobacter_koseri,274,29,non-normal,0.5370606206896551,0.0016706924935031,0.53761,0.536743,0.538266,0.001523,0.532365,0.538722,0.53250234,0.5387122000000001,0.1765668260760131,0.342998849720359,0.0006054818776742
Completeness_Specific,non-normal,100.0,0.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0,98.05,100.0,Citrobacter_koseri,274,29,non-normal,99.40517241379312,0.4971686780273019,99.57,99.33,99.74,0.4099999999999966,98.05,99.86,98.0822,99.8572,1.0,7.705719155530067e-41,0.5948275862068975
Contamination,non-normal,0.0631021897810219,0.1173064975811949,0.03,0.0,0.05,0.05,0.0,0.56,0.0,0.5526999999999999,0.0,1.47,Citrobacter_koseri,274,29,non-normal,0.5820689655172413,0.3618570808591361,0.41,0.32,0.79,0.47,0.2,1.47,0.2,1.463,0.9197080291970804,1.2135374009199603e-26,0.5189667757362195
Total_Coding_Sequences,normal,4452.664233576642,144.25488276836518,4470.0,4347.5,4556.75,209.25,4136.0,4943.0,4170.73,4799.905,4170.73,5111.0,Citrobacter_koseri,274,29,normal,4652.448275862069,195.28433491333757,4631.0,4507.0,4724.0,217.0,4318.0,5111.0,4318.42,5101.9,0.4799899320412786,4.644522416660663e-06,199.7840422854266
Genome_Size,normal,4785101.135036496,116844.50763566275,4809019.0,4691600.5,4868025.75,176425.25,4496670.0,5148538.0,4538100.64,5082715.935,4538100.64,5270494.0,Citrobacter_koseri,274,29,normal,4867278.344827586,159609.4216576236,4833807.0,4736576.0,4929880.0,193304.0,4581001.0,5270494.0,4581003.38,5250160.96,0.3335011326453561,0.0041976911889289,82809.23747797633
N50,non-normal,500432.5135135135,308423.97943795554,397537.5,310369.5,612345.25,301975.75,49659.0,2194812.0,84422.295,2162779.2299999995,84422.3,2162779.23,Bacillus_licheniformis,148,0,,,,,,,,,,,,,,
number,non-normal,45.4054054054054,26.232545764147236,37.5,31.0,49.25,18.25,19.0,182.0,19.735,166.5649999999997,19.74,166.56,Bacillus_licheniformis,148,0,,,,,,,,,,,,,,
longest,non-normal,927480.912162162,419880.988969589,803785.0,604560.75,1181305.5,576744.75,198004.0,2194812.0,215352.94,2162779.2299999995,215352.94,2162779.23,Bacillus_licheniformis,148,0,,,,,,,,,,,,,,
GC_Content,non-normal,0.4598626891891892,0.0020696923908121,0.4600275,0.4580495,0.4619534999999999,0.0039039999999999,0.45578,0.462557,0.4557947,0.46254524,0.4557,0.4635,Bacillus_licheniformis,148,51,non-normal,0.459957156862745,0.0021067498187785,0.459632,0.458476,0.4619959999999999,0.0035199999999999,0.455731,0.463539,0.45574325,0.46333925,0.1193693693693693,0.6003513879451281,0.0002838426073131
Completeness_Specific,non-normal,99.99513513513516,0.005633692860995,100.0,99.99,100.0,0.0100000000000051,99.98,100.0,99.98,100.0,92.16,100.0,Bacillus_licheniformis,148,51,non-normal,97.28745098039217,1.3907648384368836,97.66,97.215,98.1,0.8849999999999909,92.16,98.85,92.2825,98.77,1.0,2.0110935971456447e-48,2.7076841547429766
Contamination,non-normal,0.1522297297297297,0.1347160223719166,0.12,0.07,0.2025,0.1325,0.01,1.01,0.01,0.8850499999999977,0.01,5.75,Bacillus_licheniformis,148,51,non-normal,2.0454901960784317,1.0923231471258954,1.65,1.25,2.46,1.21,0.83,5.75,0.83,5.7325,0.9864864864864864,2.7712869768667003e-45,1.8932604663487016
Total_Coding_Sequences,non-normal,4394.966216216216,162.98235750735708,4385.0,4257.75,4491.25,233.5,4133.0,4909.0,4139.615,4857.549999999999,4139.62,5060.0,Bacillus_licheniformis,148,51,non-normal,4520.098039215686,153.8622066123007,4486.0,4398.5,4602.0,203.5,4315.0,5060.0,4319.75,5043.5,0.4270005299417064,9.063810176951414e-07,125.13182299947005
Genome_Size,non-normal,4264420.574324325,109283.4169344993,4258806.5,4172549.25,4334972.75,162423.5,4084793.0,4600878.0,4087480.16,4575366.149999999,4087480.16,4824459.0,Bacillus_licheniformis,148,51,non-normal,4330181.411764706,120709.1731045141,4298205.0,4241396.5,4383556.5,142160.0,4193958.0,4824459.0,4195896.75,4791686.5,0.3742713301536831,2.8317451169337916e-05,65760.83744038155
N50,non-normal,109297.98692810455,44459.425115430815,115616.0,99132.0,149503.0,50371.0,13725.0,155709.0,14399.88,155709.0,14399.88,155709.0,Deinococcus_radiodurans,153,0,,,,,,,,,,,,,,
number,non-normal,116.0,83.03554636891549,81.0,69.0,118.0,49.0,61.0,472.0,61.0,465.1600000000001,61.0,465.16,Deinococcus_radiodurans,153,0,,,,,,,,,,,,,,
longest,non-normal,273119.4248366013,99872.4886326673,302412.0,221791.0,360203.0,138412.0,43160.0,385443.0,52916.12,384750.64,52916.12,384750.64,Deinococcus_radiodurans,153,0,,,,,,,,,,,,,,
GC_Content,non-normal,0.667263339869281,0.0005632786626609,0.667355,0.6672060000000001,0.667479,0.0002729999999999,0.664645,0.668917,0.66484412,0.66886684,0.6648,0.6689,Deinococcus_radiodurans,153,14,normal,0.6664097857142858,0.0002011904494223,0.666439,0.6663257499999999,0.6665355,0.00020975,0.665906,0.666682,0.66592147,0.666681935,0.9281045751633988,1.037055696730421e-13,0.0009104169000933
Completeness_Specific,non-normal,99.62588235294116,1.275193451637965,99.91,99.89,99.92,0.0300000000000011,90.46,99.97,91.5468,99.97,91.55,99.97,Deinococcus_radiodurans,153,14,normal,96.99357142857144,1.4712269279310346,96.655,96.2125,98.34,2.1274999999999977,93.5,98.98,93.6417,98.9709,0.954248366013072,2.705276504760095e-15,2.698323996265171
Contamination,non-normal,0.0241830065359477,0.0111211027739363,0.02,0.02,0.03,0.0099999999999999,0.0,0.08,0.0076,0.08,0.01,1.12,Deinococcus_radiodurans,153,14,non-normal,0.3814285714285715,0.2734137927040557,0.24,0.21,0.41,0.1999999999999999,0.16,1.12,0.1613,1.1050500000000003,1.0,2.326519181940227e-20,0.3572455648926237
Total_Coding_Sequences,non-normal,3165.1960784313724,74.81524597548906,3140.0,3129.0,3173.0,44.0,3078.0,3505.0,3092.44,3491.32,3092.44,3491.32,Deinococcus_radiodurans,153,14,normal,3216.428571428572,51.54015672368528,3215.5,3181.5,3255.25,73.75,3133.0,3304.0,3133.39,3302.765,0.5835667600373483,0.0001095614869052,66.23062558356676
Genome_Size,non-normal,3246504.843137255,10754.971287137812,3249170.0,3242462.0,3252888.0,10426.0,3198919.0,3266700.0,3201471.08,3266530.52,3193850.0,3344765.0,Deinococcus_radiodurans,153,14,normal,3264283.6428571427,39374.99530450248,3281131.0,3235258.25,3283914.25,48656.0,3193850.0,3344765.0,3194259.76,3340884.89,0.6428571428571429,1.112000315334422e-05,31322.30578898225
N50,non-normal,51939.87418300653,20927.587213728213,42385.0,39207.0,59785.25,20578.25,22229.0,133709.0,24311.55,124200.975,24311.55,124200.98,Streptococcus_equi,1836,0,,,,,,,,,,,,,,
number,non-normal,120.74945533769063,37.02346271815132,128.0,89.0,146.0,57.0,39.0,219.0,47.0,205.0,47.0,205.0,Streptococcus_equi,1836,0,,,,,,,,,,,,,,
longest,non-normal,151413.32734204794,66175.4165525394,136809.0,104722.0,180294.75,75572.75,52005.0,427361.0,65264.5,380935.725,65264.5,380935.72,Streptococcus_equi,1836,0,,,,,,,,,,,,,,
GC_Content,non-normal,0.4136226949891067,0.0018458701517734,0.413192,0.412039,0.41506275,0.00302375,0.4094879999999999,0.418478,0.409499,0.41790865,0.4095,0.4186,Streptococcus_equi,1836,41,normal,0.415463756097561,0.0016616275855902,0.415717,0.414427,0.416474,0.002047,0.412554,0.418554,0.4125698,0.4185225999999999,0.4850948509485094,3.328943109634281e-09,0.0018410611084542
Completeness_Specific,non-normal,99.99660675381264,0.0047691864684894,100.0,99.99,100.0,0.0100000000000051,99.98,100.0,99.99,100.0,97.08,100.0,Streptococcus_equi,1836,41,normal,98.29073170731706,0.6162411241884044,98.35,97.84,98.67,0.8299999999999983,97.08,99.37,97.112,99.368,1.0,6.375765355822894e-85,1.7058750464955623
Contamination,non-normal,0.3316394335511983,0.1657914360727368,0.3,0.28,0.4,0.12,0.03,1.37,0.05,0.9182500000000005,0.05,1.72,Streptococcus_equi,1836,41,non-normal,0.4558536585365854,0.3608727605623392,0.3,0.27,0.51,0.24,0.12,1.72,0.12,1.6839999999999995,0.2238827780434667,0.0301076092214014,0.1305251341729103
Total_Coding_Sequences,non-normal,2046.6966230936816,83.92919005235824,2054.0,1996.0,2114.0,118.0,1813.0,2253.0,1836.0,2200.825,1836.0,2240.0,Streptococcus_equi,1836,41,normal,2070.7073170731705,84.84052296340671,2081.0,1998.0,2104.0,106.0,1911.0,2240.0,1914.8,2234.0,0.1565704872735001,0.2511822067703299,25.444112333280195
Genome_Size,non-normal,2107337.6399782137,44068.8299200135,2118491.5,2079339.25,2138099.5,58760.25,1968483.0,2284480.0,1980300.475,2201396.875,1980300.48,2284597.0,Streptococcus_equi,1836,41,normal,2154636.487804878,68926.12828066034,2154778.0,2086381.0,2188654.0,102273.0,2024171.0,2284597.0,2027425.8,2282091.8,0.4545273393910409,4.403303854510471e-08,47298.84782666453
N50,non-normal,217298.56010386435,113067.99943350632,190584.0,148050.5,243386.0,95335.5,25210.0,657666.0,48078.91,638021.0,48078.91,638021.0,Legionella_pneumophila,6547,0,,,,,,,,,,,,,,
number,non-normal,73.41897052084924,32.1622912356347,69.0,54.0,86.0,32.0,19.0,301.0,20.0,226.9699999999948,20.0,226.97,Legionella_pneumophila,6547,0,,,,,,,,,,,,,,
longest,non-normal,474141.83305330685,192009.28084791472,430107.0,341730.0,542699.0,200969.0,90183.0,1228584.0,140702.58000000002,1132601.0,140702.58,1132601.0,Legionella_pneumophila,6547,0,,,,,,,,,,,,,,
GC_Content,non-normal,0.3826081799297388,0.0004904104193601,0.382584,0.382365,0.382896,0.000531,0.380412,0.385124,0.38121833,0.38393727,0.3812,0.3848,Legionella_pneumophila,6547,149,non-normal,0.3833701006711408,0.0005937640114344,0.383414,0.383141,0.383692,0.0005509999999999,0.381189,0.384785,0.38143616,0.38466068,0.6253050990104592,2.062886321756784e-55,0.0007623523218278
Completeness_Specific,non-normal,99.99992821139452,0.0008621373403115,100.0,100.0,100.0,0.0,99.98,100.0,99.99,100.0,95.32,100.0,Legionella_pneumophila,6547,149,non-normal,98.83879194630872,0.629852345274582,98.94,98.46,99.33,0.8700000000000045,95.32,99.4,96.6668,99.4,1.0,3.595919140988025e-309,1.1611362650858073
Contamination,non-normal,0.2764227890636933,0.2136278179893476,0.26,0.14,0.33,0.19,0.01,8.16,0.04,0.9326999999999952,0.04,2.38,Legionella_pneumophila,6547,149,non-normal,0.587785234899329,0.4164806941996857,0.4,0.4,0.61,0.2099999999999999,0.22,2.38,0.2422,2.3355999999999995,0.651872931195496,7.254224007629481e-61,0.3133969654629457
Total_Coding_Sequences,non-normal,3161.76126470139,123.27988242793174,3153.0,3064.0,3257.0,193.0,2800.0,3610.0,2878.0,3451.0,2878.0,3451.0,Legionella_pneumophila,6547,149,non-normal,3082.3355704697988,81.974428058676,3071.0,3031.0,3111.0,80.0,2886.0,3366.0,2947.42,3359.34,0.3648989290653129,6.967038610837509e-18,83.25908685057863
Genome_Size,non-normal,3495397.14434092,117214.24029806012,3485256.0,3396829.0,3586685.0,189856.0,3181576.0,3919823.0,3226277.84,3776490.109999998,3226277.84,3776490.11,Legionella_pneumophila,6547,149,non-normal,3438535.697986577,80912.58566670085,3431799.0,3376636.0,3467907.0,91271.0,3247408.0,3717912.0,3310646.18,3698191.74,0.3135684872317153,3.185929664173491e-13,62438.15502668879
N50,non-normal,137809.29467642985,62754.88507471111,132212.0,95863.0,169179.0,73316.0,22624.0,470715.0,32142.08,364121.2599999995,32142.08,364121.26,Staphylococcus_pseudintermedius,5053,0,,,,,,,,,,,,,,
number,non-normal,84.63328715614486,32.494720852125155,76.0,64.0,96.0,32.0,25.0,276.0,37.0,214.0,37.0,214.0,Staphylococcus_pseudintermedius,5053,0,,,,,,,,,,,,,,
longest,non-normal,344075.6259647734,132434.8469339239,332373.0,240542.0,428786.0,188244.0,68582.0,905636.0,92306.62,735370.9399999995,92306.62,735370.94,Staphylococcus_pseudintermedius,5053,0,,,,,,,,,,,,,,
GC_Content,non-normal,0.3749912000791609,0.0013810955176804,0.3750679999999999,0.3738539999999999,0.376046,0.002192,0.3710969999999999,0.378959,0.371868,0.37803724,0.3719,0.378,Staphylococcus_pseudintermedius,5053,93,non-normal,0.3756009677419354,0.0012984701540254,0.375395,0.374612,0.376667,0.0020549999999999,0.372675,0.377802,0.37286268,0.3777767,0.1950656375750379,0.0016136395443749,0.000615845372386
Completeness_Specific,non-normal,99.98021571343756,0.0146552497491972,99.98,99.98,99.99,0.0099999999999909,99.78,100.0,99.91,100.0,91.08,100.0,Staphylococcus_pseudintermedius,5053,93,non-normal,96.648064516129,1.6082203201017602,96.86,95.86,97.9,2.0400000000000063,91.08,99.18,91.7056,99.0006,1.0,3.6375680864333166e-201,3.332151197308529
Contamination,non-normal,0.0522085889570552,0.1081179074949398,0.01,0.0,0.04,0.04,0.0,0.82,0.0,0.6273999999999978,0.0,4.87,Staphylococcus_pseudintermedius,5053,93,non-normal,1.6038709677419358,0.9947832013857484,1.6,0.91,2.21,1.2999999999999998,0.21,4.87,0.2192,4.8562,0.9063922422323372,1.1029632033459735e-92,1.5516623787848804
Total_Coding_Sequences,non-normal,2459.88996635662,108.05094123468255,2447.0,2376.0,2541.0,165.0,2221.0,2790.0,2256.26,2735.22,2256.26,2875.0,Staphylococcus_pseudintermedius,5053,93,non-normal,2553.52688172043,127.87280234063996,2533.0,2437.0,2662.0,225.0,2369.0,2875.0,2372.68,2849.7000000000003,0.2792400554126261,8.699521081131368e-07,93.63691536381027
Genome_Size,non-normal,2595572.90619434,83098.50488628508,2583405.0,2530216.0,2659854.0,129638.0,2380864.0,2837332.0,2440099.22,2790323.34,2440099.22,2895060.0,Staphylococcus_pseudintermedius,5053,93,non-normal,2651709.4086021506,99784.37337237188,2629596.0,2562839.0,2734754.0,171915.0,2509706.0,2895060.0,2511095.66,2870289.9200000004,0.2588561250742133,6.961342566468986e-06,56136.50240781054
N50,non-normal,142605.223880597,63485.787157517225,134818.0,95631.5,180033.25,84401.75,14822.0,332160.0,22371.725,312343.775,22371.72,312343.78,Erysipelothrix_rhusiopathiae,536,0,,,,,,,,,,,,,,
number,non-normal,43.77985074626866,20.80372125097265,38.0,32.0,48.0,16.0,17.0,202.0,18.675,138.87500000000068,18.68,138.88,Erysipelothrix_rhusiopathiae,536,0,,,,,,,,,,,,,,
longest,non-normal,277831.6436567164,95708.8155990016,279386.0,218002.75,317871.5,99868.75,63125.0,744964.0,72141.25,641522.3250000059,72141.25,641522.33,Erysipelothrix_rhusiopathiae,536,0,,,,,,,,,,,,,,
GC_Content,non-normal,0.3635530130597015,0.0007575141160555,0.363661,0.3630375,0.3641495,0.001112,0.361199,0.365358,0.3615389249999999,0.365036525,0.3615,0.3664,Erysipelothrix_rhusiopathiae,536,18,normal,0.3647946666666667,0.0011161771066158,0.3649115,0.363655,0.36566775,0.00201275,0.362666,0.366356,0.362727455,0.366354555,0.6069651741293532,1.1563806351536236e-06,0.0012416536069651
Completeness_Specific,non-normal,99.97651119402984,0.0161254372170166,99.98,99.97,99.99,0.019999999999996,99.86,100.0,99.89675,100.0,89.71,100.0,Erysipelothrix_rhusiopathiae,536,18,normal,94.61555555555556,2.18072929244177,94.145,93.575,96.81,3.2349999999999994,89.71,96.99,89.89529999999999,96.99,1.0,7.0051753735876355e-34,5.360955638474295
Contamination,non-normal,1.2161940298507463,0.1599512275296376,1.2,1.1175000000000002,1.35,0.2324999999999999,0.85,1.77,0.87675,1.76,0.72,3.63,Erysipelothrix_rhusiopathiae,536,18,non-normal,1.7122222222222223,0.7313348188647595,1.585,1.11,1.855,0.7449999999999999,0.72,3.63,0.74805,3.572199999999999,0.5756633499170812,5.500460638011422e-06,0.5299212271973466
Total_Coding_Sequences,non-normal,1695.1492537313434,37.4255494705746,1693.0,1669.0,1715.0,46.0,1606.0,1858.0,1618.35,1819.65,1618.35,1919.0,Erysipelothrix_rhusiopathiae,536,18,normal,1802.7222222222224,66.57394014306828,1803.0,1750.5,1856.25,105.75,1708.0,1919.0,1708.51,1917.215,0.7106135986733002,2.4663029164873447e-09,107.57296849087894
Genome_Size,non-normal,1774044.4608208956,32833.03100171623,1769358.0,1750836.75,1794888.25,44051.5,1694786.0,1917547.0,1705754.2,1890246.4500000004,1705754.2,1945689.0,Erysipelothrix_rhusiopathiae,536,18,normal,1831193.3333333333,63192.833937084986,1807175.5,1778077.0,1875925.0,97848.0,1752910.0,1945689.0,1754397.585,1944485.23,0.4556384742951907,0.0008047598394677,57148.8725124378
N50,non-normal,28189.40954274354,4148.643683757345,26969.0,26593.75,27609.0,1015.25,17662.0,39281.0,19827.575,38285.0,19827.58,38285.0,Francisella_tularensis,1006,0,,,,,,,,,,,,,,
number,non-normal,105.0675944333996,17.28199638882696,107.0,104.0,111.0,7.0,62.0,265.0,69.0,173.6750000000003,69.0,173.68,Francisella_tularensis,1006,0,,,,,,,,,,,,,,
longest,non-normal,92735.21471172964,17807.04027829402,87682.0,87680.0,88031.0,351.0,45231.0,149042.0,53544.85,148609.12500000012,53544.85,148609.13,Francisella_tularensis,1006,0,,,,,,,,,,,,,,
GC_Content,non-normal,0.3220276500994036,0.0004782288571345,0.32181,0.32169425,0.322186,0.00049175,0.321576,0.323822,0.321590275,0.32352035,0.3215,0.3254,Francisella_tularensis,1006,63,non-normal,0.3223867142857142,0.0009876386690432,0.322218,0.3215625,0.3226965,0.001134,0.321465,0.325368,0.32147461,0.3251866499999999,0.3650478083877686,1.4187341414644782e-07,0.0004694671652623
Completeness_Specific,non-normal,99.99693836978132,0.0058620811114063,100.0,100.0,100.0,0.0,99.95,100.0,99.98,100.0,92.53,100.0,Francisella_tularensis,1006,63,non-normal,98.1931746031746,1.2922919535937916,98.62,98.19,98.7,0.5100000000000051,92.53,99.59,92.5951,99.5094,1.0,3.819735340990696e-103,1.803763766606705
Contamination,non-normal,0.5708946322067596,0.129774980476469,0.54,0.49,0.56,0.07,0.29,1.51,0.46,1.0497500000000002,0.08,3.77,Francisella_tularensis,1006,33,non-normal,0.6396969696969697,0.8812198324034248,0.37,0.27,0.37,0.0999999999999999,0.08,3.77,0.08,3.714,0.7565817217904693,2.203514071725278e-19,0.4304795469606601
Total_Coding_Sequences,non-normal,1962.4771371769384,35.66983252610569,1945.0,1939.0,1998.0,59.0,1889.0,2100.0,1897.05,2029.975,1813.0,2043.0,Francisella_tularensis,1006,63,non-normal,1946.4920634920636,40.35472593471316,1953.0,1939.5,1972.0,32.5,1813.0,2043.0,1821.37,2032.77,0.3708384612957177,8.165139405903431e-08,20.1378711855849
Genome_Size,non-normal,1791240.9542743538,8790.806273390339,1790015.0,1786736.0,1793086.0,6350.0,1757717.0,1831493.0,1764800.625,1813799.2,1764800.62,2047033.0,Francisella_tularensis,1006,63,non-normal,1899818.53968254,29496.59775044573,1892789.0,1892175.5,1895860.5,3685.0,1857929.0,2047033.0,1857999.37,2032479.74,1.0,3.819735340990696e-103,108577.58540818584
N50,non-normal,1011413.137896326,686420.9636390548,927138.0,542943.5,1046726.5,503783.0,15130.0,2294043.0,23727.93,2231991.05,23727.93,2231991.05,Bacillus_subtilis,1987,0,,,,,,,,,,,,,,
number,non-normal,49.04378459989935,54.69372650996602,33.0,26.0,42.0,16.0,16.0,617.0,18.0,460.4199999999996,18.0,460.42,Bacillus_subtilis,1987,0,,,,,,,,,,,,,,
longest,non-normal,1278013.5017614495,630752.4590539894,1066451.0,999432.5,2044910.5,1045478.0,60165.0,2294043.0,105888.84,2231991.05,105888.84,2231991.05,Bacillus_subtilis,1987,0,,,,,,,,,,,,,,
GC_Content,non-normal,0.4350414826371414,0.0021185891852738,0.4343269999999999,0.432768,0.437214,0.004446,0.42911,0.440264,0.43058541,0.4385422,0.4288,0.441,Bacillus_subtilis,1987,375,non-normal,0.4360127813333332,0.0020764416447819,0.435843,0.434657,0.4379929999999999,0.0033359999999999,0.428789,0.440963,0.43000814,0.43936476,0.3093172286529105,3.1268216214005142e-27,0.0010042984371749
Completeness_Specific,non-normal,99.99927528938098,0.0101512570890247,100.0,100.0,100.0,0.0,99.71,100.0,99.9893,100.0,92.39,100.0,Bacillus_subtilis,1987,375,non-normal,97.54144,1.077012933874674,97.8,97.105,98.35,1.2450000000000043,92.39,98.62,92.7009,98.62,1.0,5e-324,2.4578352893809767
Contamination,non-normal,0.2311424257674887,0.2957117663599439,0.09,0.04,0.475,0.435,0.0,2.4,0.0,1.7906999999999993,0.0,11.97,Bacillus_subtilis,1987,375,non-normal,1.385306666666667,0.8302605851712394,1.32,1.05,1.45,0.3999999999999999,0.44,11.97,0.51,4.616499999999968,0.9566207012246268,1.53e-322,1.154164240899178
Total_Coding_Sequences,non-normal,4171.041268243584,160.17448433916866,4223.0,4012.0,4315.0,303.0,3807.0,4669.0,3810.0,4569.139999999999,3810.0,4985.0,Bacillus_subtilis,1987,375,non-normal,4368.261333333333,151.73927102617688,4389.0,4245.0,4466.0,221.0,3861.0,4985.0,3967.45,4876.13,0.468012749538668,2.180442756755008e-63,197.22006508975005
