metric,median,q1,q3,min,max,upper_bound,lower_bound,MY_LOWER,MY_UPPER,species
N50,42385.0,39207.0,59785.25,22229.0,133709.0,124200.975,24311.55,24311.55,124200.98,Streptococcus_equi
number,128.0,89.0,146.0,39.0,219.0,205.0,47.0,47.0,205.0,Streptococcus_equi
longest,136809.0,104722.0,180294.75,52005.0,427361.0,380935.725,65264.5,65264.5,380935.72,Streptococcus_equi
GC_Content,0.413192,0.412039,0.41506275,0.4094879999999999,0.418478,0.41790865,0.409499,0.4095,0.4186,Streptococcus_equi
Completeness_Specific,100.0,99.99,100.0,99.98,100.0,100.0,99.99,97.08,100.0,Streptococcus_equi
Contamination,0.3,0.28,0.4,0.03,1.37,0.9182500000000005,0.05,0.05,1.72,Streptococcus_equi
Total_Coding_Sequences,2054.0,1996.0,2114.0,1813.0,2253.0,2200.825,1836.0,1836.0,2240.0,Streptococcus_equi
Genome_Size,2118491.5,2079339.25,2138099.5,1968483.0,2284480.0,2201396.875,1980300.475,1980300.48,2284597.0,Streptococcus_equi
N50,201415.0,153695.5,826439.75,53600.0,3108688.0,2886222.624999998,53687.12,53687.12,2886222.62,Xanthomonas_arboricola
number,73.0,36.75,106.75,6.0,229.0,223.55499999999995,6.99,6.99,223.55,Xanthomonas_arboricola
longest,539007.0,427225.5,1325799.75,136483.0,3108688.0,2886222.624999998,172321.495,172321.5,2886222.62,Xanthomonas_arboricola
GC_Content,0.655001,0.6544095,0.6572825,0.651798,0.6598109999999999,0.6595758749999999,0.65204847,0.6519,0.6596,Xanthomonas_arboricola
Completeness_Specific,100.0,100.0,100.0,100.0,100.0,100.0,100.0,97.59,100.0,Xanthomonas_arboricola
Contamination,0.06,0.01,0.19,0.0,1.4,1.39505,0.0,0.0,2.35,Xanthomonas_arboricola
Total_Coding_Sequences,4257.5,4054.5,4362.75,3896.0,4581.0,4578.525,3901.94,3901.94,4625.0,Xanthomonas_arboricola
Genome_Size,5064732.5,4894981.75,5152070.0,4710128.0,5324312.0,5321041.535,4723539.035,4723539.04,5321041.54,Xanthomonas_arboricola
N50,190584.0,148050.5,243386.0,25210.0,657666.0,638021.0,48078.91,48078.91,638021.0,Legionella_pneumophila
number,69.0,54.0,86.0,19.0,301.0,226.9699999999948,20.0,20.0,226.97,Legionella_pneumophila
longest,430107.0,341730.0,542699.0,90183.0,1228584.0,1132601.0,140702.58000000002,140702.58,1132601.0,Legionella_pneumophila
GC_Content,0.382584,0.382365,0.382896,0.380412,0.385124,0.38393727,0.38121833,0.3812,0.3848,Legionella_pneumophila
Completeness_Specific,100.0,100.0,100.0,99.98,100.0,100.0,99.99,95.32,100.0,Legionella_pneumophila
Contamination,0.26,0.14,0.33,0.01,8.16,0.9326999999999952,0.04,0.04,2.38,Legionella_pneumophila
Total_Coding_Sequences,3153.0,3064.0,3257.0,2800.0,3610.0,3451.0,2878.0,2878.0,3451.0,Legionella_pneumophila
Genome_Size,3485256.0,3396829.0,3586685.0,3181576.0,3919823.0,3776490.109999998,3226277.84,3226277.84,3776490.11,Legionella_pneumophila
N50,132212.0,95863.0,169179.0,22624.0,470715.0,364121.2599999995,32142.08,32142.08,364121.26,Staphylococcus_pseudintermedius
number,76.0,64.0,96.0,25.0,276.0,214.0,37.0,37.0,214.0,Staphylococcus_pseudintermedius
longest,332373.0,240542.0,428786.0,68582.0,905636.0,735370.9399999995,92306.62,92306.62,735370.94,Staphylococcus_pseudintermedius
GC_Content,0.3750679999999999,0.3738539999999999,0.376046,0.3710969999999999,0.378959,0.37803724,0.371868,0.3719,0.378,Staphylococcus_pseudintermedius
Completeness_Specific,99.98,99.98,99.99,99.78,100.0,100.0,99.91,91.08,100.0,Staphylococcus_pseudintermedius
Contamination,0.01,0.0,0.04,0.0,0.82,0.6273999999999978,0.0,0.0,4.87,Staphylococcus_pseudintermedius
Total_Coding_Sequences,2447.0,2376.0,2541.0,2221.0,2790.0,2735.22,2256.26,2256.26,2875.0,Staphylococcus_pseudintermedius
Genome_Size,2583405.0,2530216.0,2659854.0,2380864.0,2837332.0,2790323.34,2440099.22,2440099.22,2895060.0,Staphylococcus_pseudintermedius
N50,134818.0,95631.5,180033.25,14822.0,332160.0,312343.775,22371.725,22371.72,312343.78,Erysipelothrix_rhusiopathiae
number,38.0,32.0,48.0,17.0,202.0,138.87500000000068,18.675,18.68,138.88,Erysipelothrix_rhusiopathiae
longest,279386.0,218002.75,317871.5,63125.0,744964.0,641522.3250000059,72141.25,72141.25,641522.33,Erysipelothrix_rhusiopathiae
GC_Content,0.363661,0.3630375,0.3641495,0.361199,0.365358,0.365036525,0.3615389249999999,0.3615,0.3664,Erysipelothrix_rhusiopathiae
Completeness_Specific,99.98,99.97,99.99,99.86,100.0,100.0,99.89675,89.71,100.0,Erysipelothrix_rhusiopathiae
Contamination,1.2,1.1175000000000002,1.35,0.85,1.77,1.76,0.87675,0.72,3.63,Erysipelothrix_rhusiopathiae
Total_Coding_Sequences,1693.0,1669.0,1715.0,1606.0,1858.0,1819.65,1618.35,1618.35,1919.0,Erysipelothrix_rhusiopathiae
Genome_Size,1769358.0,1750836.75,1794888.25,1694786.0,1917547.0,1890246.4500000004,1705754.2,1705754.2,1945689.0,Erysipelothrix_rhusiopathiae
N50,26969.0,26593.75,27609.0,17662.0,39281.0,38285.0,19827.575,19827.58,38285.0,Francisella_tularensis
number,107.0,104.0,111.0,62.0,265.0,173.6750000000003,69.0,69.0,173.68,Francisella_tularensis
longest,87682.0,87680.0,88031.0,45231.0,149042.0,148609.12500000012,53544.85,53544.85,148609.13,Francisella_tularensis
GC_Content,0.32181,0.32169425,0.322186,0.321576,0.323822,0.32352035,0.321590275,0.3215,0.3254,Francisella_tularensis
Completeness_Specific,100.0,100.0,100.0,99.95,100.0,100.0,99.98,92.53,100.0,Francisella_tularensis
Contamination,0.54,0.49,0.56,0.29,1.51,1.0497500000000002,0.46,0.08,3.77,Francisella_tularensis
Total_Coding_Sequences,1945.0,1939.0,1998.0,1889.0,2100.0,2029.975,1897.05,1813.0,2043.0,Francisella_tularensis
Genome_Size,1790015.0,1786736.0,1793086.0,1757717.0,1831493.0,1813799.2,1764800.625,1764800.62,2047033.0,Francisella_tularensis
N50,927138.0,542943.5,1046726.5,15130.0,2294043.0,2231991.05,23727.93,23727.93,2231991.05,Bacillus_subtilis
number,33.0,26.0,42.0,16.0,617.0,460.4199999999996,18.0,18.0,460.42,Bacillus_subtilis
longest,1066451.0,999432.5,2044910.5,60165.0,2294043.0,2231991.05,105888.84,105888.84,2231991.05,Bacillus_subtilis
GC_Content,0.4343269999999999,0.432768,0.437214,0.42911,0.440264,0.4385422,0.43058541,0.4288,0.441,Bacillus_subtilis
Completeness_Specific,100.0,100.0,100.0,99.71,100.0,100.0,99.9893,92.39,100.0,Bacillus_subtilis
Contamination,0.09,0.04,0.475,0.0,2.4,1.7906999999999993,0.0,0.0,11.97,Bacillus_subtilis
Total_Coding_Sequences,4223.0,4012.0,4315.0,3807.0,4669.0,4569.139999999999,3810.0,3810.0,4985.0,Bacillus_subtilis
Genome_Size,4162338.0,3990843.0,4246579.5,3829812.0,4403519.0,4326288.64,3831245.49,3684279.0,4586412.0,Bacillus_subtilis
N50,486186.0,175645.25,716214.5,1025.0,1048938.0,1048728.0,2262.875,2262.88,1048728.0,Chlamydia_trachomatis
number,37.0,19.0,85.25,2.0,1104.0,706.7000000000025,2.0,2.0,706.7,Chlamydia_trachomatis
longest,562063.5,368702.25,716214.5,6885.0,1048938.0,1048728.0,9578.0,9578.0,1048728.0,Chlamydia_trachomatis
GC_Content,0.4131365,0.41255975,0.4145064999999999,0.40962,0.425691,0.421370075,0.411204225,0.4112,0.4214,Chlamydia_trachomatis
Completeness_Specific,99.83,99.76,99.87,58.03,99.96,99.93525,76.8575,76.86,99.94,Chlamydia_trachomatis
Contamination,0.105,0.09,0.14,0.05,3.6,2.905750000000003,0.05475,0.05,7.15,Chlamydia_trachomatis
Total_Coding_Sequences,948.0,928.0,987.0,901.0,1597.0,1368.6000000000022,904.0,904.0,1368.6,Chlamydia_trachomatis
Genome_Size,1078271.5,1058147.75,1105614.5,833098.0,1363332.0,1274317.0000000002,910369.7,910369.7,1274317.0,Chlamydia_trachomatis
N50,196405.5,140401.25,261109.0,28178.0,838310.0,755722.3599999985,32483.095,32483.1,755722.36,Aeromonas_veronii
number,77.0,59.0,101.5,35.0,860.0,532.569999999995,38.0,38.0,532.57,Aeromonas_veronii
longest,539837.5,352770.25,769936.5,110893.0,1381028.0,1317828.1699999997,112974.26,112974.26,1317828.17,Aeromonas_veronii
GC_Content,0.5871230000000001,0.5856064999999999,0.58829675,0.579131,0.59097,0.590802625,0.5805483550000001,0.5805,0.61,Aeromonas_veronii
Completeness_Specific,100.0,100.0,100.0,100.0,100.0,100.0,100.0,90.13,100.0,Aeromonas_veronii
Contamination,0.2,0.12,0.3,0.03,1.0,0.9525499999999992,0.04,0.04,10.98,Aeromonas_veronii
Total_Coding_Sequences,4100.0,4028.75,4225.0,3901.0,5155.0,4982.774999999998,3910.15,3910.15,4982.77,Aeromonas_veronii
Genome_Size,4529392.5,4461658.5,4640999.75,4224540.0,5259965.0,5076311.634999996,4306261.06,4306261.06,5198147.0,Aeromonas_veronii
N50,117081.0,91640.5,139615.5,30422.0,333328.0,288887.59,34104.33,34104.33,288887.59,Sinorhizobium_meliloti
number,209.0,162.0,254.0,67.0,532.0,507.8999999999999,82.32,82.32,507.9,Sinorhizobium_meliloti
longest,371660.0,305465.0,475938.5,118179.0,1012212.0,1005241.0,138778.37,138778.37,1005241.0,Sinorhizobium_meliloti
GC_Content,0.621092,0.6203265,0.621752,0.602727,0.622932,0.62275368,0.6176889,0.6177,0.624,Sinorhizobium_meliloti
Completeness_Specific,99.99,99.99,100.0,99.75,100.0,100.0,99.8661,96.92,100.0,Sinorhizobium_meliloti
Contamination,0.22,0.0849999999999999,0.455,0.0,5.1,2.4643999999999866,0.0,0.0,2.46,Sinorhizobium_meliloti
Total_Coding_Sequences,6508.0,6389.0,6701.5,5883.0,7588.0,7531.12,6053.22,5873.0,7531.12,Sinorhizobium_meliloti
Genome_Size,6811887.0,6687238.5,6954921.0,6211067.0,7561877.0,7529695.869999999,6450652.79,6140999.0,7692912.0,Sinorhizobium_meliloti
N50,91941.0,66231.75,125592.0,9926.0,314062.0,269647.4949999998,14770.88,14770.88,269647.49,Mycobacterium_avium
number,156.0,121.0,207.0,47.0,969.0,615.7849999999999,73.0,73.0,615.78,Mycobacterium_avium
longest,252771.5,195857.25,368062.0,43464.0,1172244.0,760789.0199999996,86119.66,86119.66,760789.02,Mycobacterium_avium
GC_Content,0.692898,0.69033625,0.693281,0.6818890000000001,0.694267,0.694046,0.6855150099999999,0.6855,0.694,Mycobacterium_avium
Completeness_Specific,100.0,100.0,100.0,99.86,100.0,100.0,99.99,93.86,100.0,Mycobacterium_avium
Contamination,0.05,0.03,0.12,0.0,3.9,2.2178499999999985,0.0,0.0,6.74,Mycobacterium_avium
Total_Coding_Sequences,4702.0,4572.0,4994.25,4491.0,5763.0,5651.57,4527.0,4527.0,5651.57,Mycobacterium_avium
Genome_Size,4885779.5,4786434.5,5285588.25,4682951.0,6002820.0,5899412.475,4734387.47,4734387.47,5899412.48,Mycobacterium_avium
N50,62542.0,49655.75,77048.5,19971.0,85236.0,84597.0,21844.4,21844.4,84597.0,Paenibacillus_larvae
number,289.0,246.0,353.75,172.0,852.0,795.7500000000009,179.0,179.0,795.75,Paenibacillus_larvae
longest,195600.5,163163.5,213857.0,82638.0,320416.0,239405.4,95383.55,95383.55,239405.4,Paenibacillus_larvae
GC_Content,0.4406145,0.4403089999999999,0.441073,0.437681,0.448692,0.4481592,0.4394807999999999,0.4378,0.4501,Paenibacillus_larvae
Completeness_Specific,99.98,99.97,99.99,99.88,100.0,100.0,99.92,85.67,100.0,Paenibacillus_larvae
Contamination,1.35,0.95,1.64,0.57,4.07,3.057750000000001,0.61225,0.14,3.06,Paenibacillus_larvae
Total_Coding_Sequences,4492.0,4315.0,4632.75,3793.0,4960.0,4905.775,3803.0,3803.0,5272.0,Paenibacillus_larvae
Genome_Size,4177165.0,4055116.5,4253191.5,3662128.0,4468789.0,4438347.875,3681623.85,3681623.85,4794868.0,Paenibacillus_larvae
N50,72601.0,54868.0,182286.0,10586.0,790747.0,684165.8399999996,16021.84,16021.84,684165.84,Bacillus_bombysepticus
number,345.0,155.0,494.0,44.0,2621.0,2345.5999999999995,47.72,47.72,2345.6,Bacillus_bombysepticus
longest,281050.0,223009.0,559521.0,77112.0,1635820.0,1519439.1199999996,82503.44,82503.44,1519439.12,Bacillus_bombysepticus
GC_Content,0.348226,0.347445,0.3494319999999999,0.34634,0.355068,0.3542983999999999,0.34680516,0.3468,0.3543,Bacillus_bombysepticus
Completeness_Specific,100.0,100.0,100.0,99.12,100.0,100.0,99.9944,99.12,100.0,Bacillus_bombysepticus
Contamination,0.0,0.0,0.07,0.0,1.02,0.7483999999999992,0.0,0.0,0.75,Bacillus_bombysepticus
Total_Coding_Sequences,6537.0,5962.0,6750.0,5232.0,8552.0,7640.399999999997,5236.72,5236.72,7640.4,Bacillus_bombysepticus
Genome_Size,6257073.0,5865477.0,6431462.0,4945227.0,6930985.0,6815419.12,5225569.36,5225569.36,6815419.12,Bacillus_bombysepticus
N50,103190.5,82092.75,146380.5,25347.0,264878.0,250476.0,29616.25,29616.25,250476.0,Mycobacterium_kansasii
number,217.5,191.0,252.25,116.0,560.0,484.625,142.5,142.5,484.62,Mycobacterium_kansasii
longest,372908.0,285847.0,565517.5,111515.0,996172.0,848367.125,120792.125,120792.12,848367.12,Mycobacterium_kansasii
GC_Content,0.661602,0.661147,0.6618542500000001,0.659289,0.662503,0.6624385,0.65946375,0.6595,0.6624,Mycobacterium_kansasii
Completeness_Specific,100.0,99.99,100.0,99.96,100.0,100.0,99.97,99.26,100.0,Mycobacterium_kansasii
Contamination,0.05,0.03,0.08,0.01,1.88,1.64375,0.01,0.01,1.64,Mycobacterium_kansasii
Total_Coding_Sequences,5877.5,5812.0,5973.0,5672.0,6397.0,6285.125,5728.375,5680.0,6285.12,Mycobacterium_kansasii
Genome_Size,6454224.0,6414485.25,6554363.25,6294532.0,6901612.0,6828910.75,6322176.75,6322176.75,6828910.75,Mycobacterium_kansasii
N50,151486.0,131038.0,172238.0,72782.0,317896.0,306142.2249999999,76958.81,76958.81,306142.22,Neisseria_polysaccharea
number,42.0,33.0,49.0,20.0,76.0,74.51499999999999,20.495,20.5,74.51,Neisseria_polysaccharea
longest,245174.0,209988.25,421577.0,146060.0,638576.0,615360.4999999998,152250.965,152250.96,615360.5,Neisseria_polysaccharea
GC_Content,0.520903,0.5184735,0.521673,0.515143,0.523853,0.52347878,0.51521032,0.5152,0.5235,Neisseria_polysaccharea
Completeness_Specific,99.995,99.99,100.0,99.95,100.0,100.0,99.9599,98.06,100.0,Neisseria_polysaccharea
Contamination,0.01,0.01,0.0425,0.0,0.15,0.1450499999999999,0.0,0.0,0.2,Neisseria_polysaccharea
Total_Coding_Sequences,1966.0,1912.25,2003.5,1843.0,2109.0,2108.505,1845.475,1845.48,2108.5,Neisseria_polysaccharea
Genome_Size,2055771.0,2014864.25,2086601.5,1977328.0,2196845.0,2183716.115,1977390.37,1977390.37,2183716.11,Neisseria_polysaccharea
N50,75383.0,63261.0,89069.0,45280.0,184643.0,164030.29999999987,45432.55,45432.55,164030.3,Pseudomonas_juntendi
number,234.0,207.0,274.5,131.0,364.0,352.29999999999995,132.8,132.8,352.3,Pseudomonas_juntendi
longest,295784.0,241156.5,337066.0,153074.0,484428.0,473259.0,155276.75,155276.75,473259.0,Pseudomonas_juntendi
GC_Content,0.621937,0.6209115000000001,0.623353,0.6183919999999999,0.626464,0.62637265,0.6184545499999999,0.6184,0.6264,Pseudomonas_juntendi
Completeness_Specific,99.99,99.99,100.0,99.92,100.0,100.0,99.9245,99.68,100.0,Pseudomonas_juntendi
Contamination,0.51,0.335,0.845,0.07,1.46,1.46,0.0745,0.07,1.85,Pseudomonas_juntendi
Total_Coding_Sequences,5364.0,5259.0,5538.5,4891.0,5831.0,5829.65,4903.6,4903.6,5829.65,Pseudomonas_juntendi
Genome_Size,5735912.0,5624517.0,5851791.5,5315432.0,6254515.0,6183319.6,5318923.1,5318923.1,6183319.6,Pseudomonas_juntendi
N50,279899.0,193366.0,381619.0,52005.0,940485.0,871877.0,83479.0,83479.0,871877.0,Klebsiella_ornithinolytica
number,120.0,69.0,183.0,33.0,812.0,342.0,42.0,42.0,342.0,Klebsiella_ornithinolytica
longest,755939.0,492420.0,1069483.0,182983.0,2611970.0,2368223.0,248034.0,248034.0,2368223.0,Klebsiella_ornithinolytica
GC_Content,0.554712,0.552853,0.556409,0.546694,0.560137,0.559861,0.546834,0.5468,0.5747,Klebsiella_ornithinolytica
Completeness_Specific,100.0,100.0,100.0,100.0,100.0,100.0,100.0,96.87,100.0,Klebsiella_ornithinolytica
Contamination,1.39,0.98,2.24,0.49,4.31,3.74,0.64,0.64,3.74,Klebsiella_ornithinolytica
Total_Coding_Sequences,5508.0,5247.0,5726.0,4835.0,6286.0,6262.0,4875.0,4875.0,6275.0,Klebsiella_ornithinolytica
Genome_Size,5836304.0,5632694.0,6002328.0,5253296.0,6473412.0,6434434.0,5337988.0,5337988.0,6535821.0,Klebsiella_ornithinolytica
N50,94441.0,28856.5,182204.0,3813.0,308475.0,308472.0,4992.39,4992.39,308472.0,Caulobacter_vibrioides
number,106.0,55.5,297.0,42.0,1646.0,1307.66,43.0,43.0,1307.66,Caulobacter_vibrioides
longest,308633.0,108787.5,453698.0,21827.0,456848.0,456848.0,24829.26,24829.26,456848.0,Caulobacter_vibrioides
GC_Content,0.6717,0.6715019999999999,0.67189,0.667137,0.6723480000000001,0.67228735,0.6697070100000001,0.6697,0.6723,Caulobacter_vibrioides
Completeness_Specific,100.0,99.98,100.0,88.83,100.0,100.0,89.2883,88.98,100.0,Caulobacter_vibrioides
Contamination,0.04,0.02,0.235,0.0,3.57,3.4113000000000016,0.0,0.0,5.86,Caulobacter_vibrioides
Total_Coding_Sequences,3739.0,3722.0,3919.5,3669.0,4846.0,4634.990000000003,3670.34,3670.34,4634.99,Caulobacter_vibrioides
Genome_Size,4015179.0,4001823.0,4024424.0,3815995.0,4214901.0,4037364.05,3848628.06,3848628.06,4144051.0,Caulobacter_vibrioides
N50,112314.0,93044.0,127955.0,38230.0,396568.0,369139.0,54631.0,54631.0,369139.0,Pseudomonas_paracarnis
number,140.0,125.0,158.0,49.0,280.0,258.0,57.0,57.0,258.0,Pseudomonas_paracarnis
longest,311438.0,241380.0,410995.0,123986.0,955559.0,912775.0,156059.0,156059.0,912775.0,Pseudomonas_paracarnis
GC_Content,0.599024,0.598872,0.5992000000000001,0.596023,0.602847,0.602829,0.596587,0.5966,0.6028,Pseudomonas_paracarnis
Completeness_Specific,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.05,100.0,Pseudomonas_paracarnis
Contamination,0.05,0.05,0.05,0.0,1.36,0.91,0.0,0.0,0.91,Pseudomonas_paracarnis
Total_Coding_Sequences,5999.0,5963.0,6013.0,5255.0,6084.0,6052.0,5289.0,5289.0,6052.0,Pseudomonas_paracarnis
Genome_Size,6566470.0,6532960.0,6568861.0,5875640.0,6650320.0,6595781.0,5877883.0,5877883.0,6595781.0,Pseudomonas_paracarnis
N50,285018.5,179173.5,474179.25,50212.0,1001837.0,909898.0549999984,54012.985,54012.98,909898.05,Citrobacter_farmeri
number,94.5,58.25,160.0,24.0,292.0,285.5499999999999,24.645,24.64,285.55,Citrobacter_farmeri
longest,792672.5,479127.5,1259076.0,151551.0,2518452.0,2501589.765,170568.18,170568.18,2501589.76,Citrobacter_farmeri
GC_Content,0.530769,0.528706,0.53212075,0.524942,0.534571,0.5339711500000001,0.52496393,0.525,0.534,Citrobacter_farmeri
Completeness_Specific,100.0,100.0,100.0,100.0,100.0,100.0,100.0,98.36,100.0,Citrobacter_farmeri
Contamination,0.15,0.07,0.4375,0.0,1.51,1.4906499999999996,0.00645,0.01,5.68,Citrobacter_farmeri
Total_Coding_Sequences,5220.0,4843.5,5390.75,4547.0,5940.0,5894.204999999999,4548.29,4548.29,5894.2,Citrobacter_farmeri
Genome_Size,5425550.0,5122505.25,5591658.0,4921761.0,5958290.0,5952117.995,4928830.2,4928830.2,5952118.0,Citrobacter_farmeri
N50,115935.5,80710.25,152198.75,14134.0,252889.0,219119.79,16156.185,16156.18,219119.79,Bacteroides_xylanisolvens
number,193.5,143.0,262.25,79.0,1153.0,975.195,87.87,87.87,975.2,Bacteroides_xylanisolvens
longest,339945.0,256291.0,417190.0,67921.0,754893.0,734234.33,82724.415,82724.41,734234.33,Bacteroides_xylanisolvens
GC_Content,0.419684,0.4184329999999999,0.4218877499999999,0.414545,0.4272019999999999,0.426867455,0.415073575,0.4151,0.4269,Bacteroides_xylanisolvens
Completeness_Specific,100.0,99.99,100.0,94.61,100.0,100.0,99.42425,94.34,100.0,Bacteroides_xylanisolvens
Contamination,1.08,0.5575000000000001,1.62,0.06,5.35,4.606249999999999,0.0787,0.08,8.27,Bacteroides_xylanisolvens
Total_Coding_Sequences,5158.5,4942.75,5450.25,4319.0,6159.0,5990.885,4420.48,4420.48,5990.88,Bacteroides_xylanisolvens
Genome_Size,6314049.0,6130097.0,6461556.25,5563320.0,7078542.0,6943807.815,5682890.54,5682890.54,6943807.82,Bacteroides_xylanisolvens
N50,95620.0,90699.0,155348.75,29301.0,525286.0,466258.73,30998.55,30998.55,466258.73,Mycoplasmoides_pneumoniae
number,37.5,29.0,65.75,9.0,92.0,91.0,11.245,11.24,91.0,Mycoplasmoides_pneumoniae
longest,317612.0,191367.75,339756.0,68248.0,525286.0,466258.73,86276.71,86276.71,466258.73,Mycoplasmoides_pneumoniae
GC_Content,0.3998695,0.39900175,0.40017225,0.395488,0.405819,0.40548797,0.396179475,0.3962,0.4055,Mycoplasmoides_pneumoniae
Completeness_Specific,99.005,98.55,99.3175,96.67,99.69,99.64755,96.7339,96.61,99.65,Mycoplasmoides_pneumoniae
Contamination,0.11,0.1,0.11,0.02,0.78,0.26,0.02735,0.03,6.35,Mycoplasmoides_pneumoniae
Total_Coding_Sequences,785.0,778.0,795.75,716.0,825.0,822.775,734.98,734.98,822.78,Mycoplasmoides_pneumoniae
Genome_Size,815703.5,809562.5,817386.25,764008.0,832830.0,832190.77,769993.835,769993.84,857799.0,Mycoplasmoides_pneumoniae
